X,CH1,Start,Increment,
Sequence,Volt,-3.000000e-01,5.000000e-06
0,9.60e-02,
1,-1.44e-01,
2,-1.84e-01,
3,-8.00e-03,
4,-1.92e-01,
5,1.60e-02,
6,-8.80e-02,
7,2.24e-01,
8,-8.80e-02,
9,-9.60e-02,
10,6.40e-02,
11,-1.36e-01,
12,7.20e-02,
13,2.16e-01,
14,3.20e-02,
15,-1.68e-01,
16,2.96e-01,
17,1.76e-01,
18,7.20e-02,
19,-3.12e-01,
20,2.40e-02,
21,-2.88e-01,
22,1.60e-01,
23,8.00e-03,
24,-1.36e-01,
25,-1.36e-01,
26,2.40e-02,
27,-1.44e-01,
28,-3.12e-01,
29,2.40e-02,
30,-4.80e-02,
31,-4.80e-02,
32,1.04e-01,
33,-1.12e-01,
34,-1.84e-01,
35,-3.20e-02,
36,-1.84e-01,
37,1.92e-01,
38,8.00e-02,
39,3.36e-01,
40,3.20e-02,
41,-1.28e-01,
42,-2.40e-02,
43,-3.52e-01,
44,-1.52e-01,
45,-1.76e-01,
46,-2.08e-01,
47,2.96e-01,
48,-1.60e-02,
49,-8.80e-02,
50,-1.76e-01,
51,1.84e-01,
52,-2.40e-02,
53,1.36e-01,
54,-1.04e-01,
55,-1.36e-01,
56,-5.60e-02,
57,1.20e-01,
58,2.16e-01,
59,-9.60e-02,
60,-1.68e-01,
61,2.16e-01,
62,-1.76e-01,
63,1.12e-01,
64,-2.08e-01,
65,-8.80e-02,
66,-3.20e-02,
67,-6.40e-02,
68,-7.20e-02,
69,-1.76e-01,
70,-8.80e-02,
71,3.20e-02,
72,-7.20e-02,
73,7.20e-02,
74,1.20e-01,
75,-3.20e-02,
76,1.84e-01,
77,1.20e-01,
78,-2.24e-01,
79,3.20e-02,
80,-2.40e-02,
81,3.44e-01,
82,-1.04e-01,
83,-8.00e-03,
84,-3.20e-02,
85,-9.60e-02,
86,7.20e-02,
87,-7.20e-02,
88,-6.40e-02,
89,3.60e-01,
90,2.16e-01,
91,6.40e-02,
92,-8.80e-02,
93,1.60e-02,
94,-6.40e-02,
95,8.00e-03,
96,3.20e-02,
97,6.40e-02,
98,-2.40e-02,
99,1.60e-01,
100,-2.48e-01,
101,-4.56e-01,
102,1.12e-01,
103,1.52e-01,
104,2.40e-02,
105,1.44e-01,
106,7.20e-02,
107,-1.84e-01,
108,8.00e-02,
109,3.20e-02,
110,1.44e-01,
111,1.60e-02,
112,2.40e-02,
113,-1.04e-01,
114,4.16e-01,
115,-6.40e-02,
116,-1.52e-01,
117,8.00e-03,
118,7.20e-02,
119,-1.84e-01,
120,5.60e-02,
121,6.40e-02,
122,1.92e-01,
123,1.20e-01,
124,-7.20e-02,
125,3.36e-01,
126,-1.36e-01,
127,1.60e-01,
128,4.80e-02,
129,-2.40e-02,
130,-2.96e-01,
131,1.60e-02,
132,1.12e-01,
133,6.40e-02,
134,1.76e-01,
135,-1.68e-01,
136,-9.60e-02,
137,-2.08e-01,
138,9.60e-02,
139,-3.52e-01,
140,1.92e-01,
141,-1.76e-01,
142,-2.72e-01,
143,2.40e-01,
144,-1.44e-01,
145,-2.16e-01,
146,1.36e-01,
147,-1.44e-01,
148,2.96e-01,
